17,B4T601,SNSL254_A1727,SNSL254_A1727,11,1
25,B4SY33,SNSL254_A2391,SNSL254_A2391,9,1
62,B4SYF4,SNSL254_A4169,SNSL254_A4169,10,7
65,B4SW24,adrA,SNSL254_A0427,11,1
71,B4T587,SNSL254_A1560,SNSL254_A1560,9,3
72,B4T6X6,SNSL254_A1858,SNSL254_A1858,11,2
79,B4SZ91,mobA,SNSL254_A4275,11,2
88,B4T5F4,SNSL254_A1628,SNSL254_A1628,5,2
108,B4T0S9,SNSL254_A4412,SNSL254_A4412,10,1
115,B4T2N1,SNSL254_A4680,SNSL254_A4680,11,1
121,B4SYT0,napB,SNSL254_A2440,11,4
137,B4T0Q2,ndk,SNSL254_A2721,11,11
149,B4T4R8,SNSL254_A1488,SNSL254_A1488,9,4
150,B4SWT2,cyoD,SNSL254_A0487,11,8
156,B4T5B0,SNSL254_A1584,SNSL254_A1584,11,16
173,B4SW37,otsA,SNSL254_A2089,11,2
183,B4T212,SNSL254_A1124,SNSL254_A1124,11,3
184,B4T3E5,ulaB,SNSL254_A4745,17,7
191,B4T3F9,SNSL254_A4759,SNSL254_A4759,11,4
192,B4SZP3,flk,SNSL254_A2559,11,1
199,B4T5B5,pntB,SNSL254_A1589,11,3
210,B4SZM3,hisM,SNSL254_A2539,11,9
219,B4SU31,sgrR,SNSL254_A0118,11,7
236,B4SZH6,galM,SNSL254_A0837,11,6
259,B4T773,SNSL254_A3626,SNSL254_A3626,11,1
261,B4T283,SNSL254_A1196,SNSL254_A1196,10,2
265,B4SU84,SNSL254_A0175,SNSL254_A0175,11,2
270,B4SVT6,SNSL254_A0330,SNSL254_A0330,2,1
276,B4SUE8,narJ,SNSL254_A1893,11,13
285,B4SYJ4,SNSL254_A0692,SNSL254_A0692,11,1
304,B4SYT2,napG,SNSL254_A2442,11,4
314,B4SZ62,recQ,SNSL254_A4238,2,1
329,B4T4D5,SNSL254_A4885,SNSL254_A4885,11,1
358,B4SZ65,pldB,SNSL254_A4241,11,18
368,B4T357,SNSL254_A2982,SNSL254_A2982,10,4
376,B4SVN1,SNSL254_A3801,SNSL254_A3801,11,5
387,B4T4P0,SNSL254_A1456,SNSL254_A1456,10,5
393,B4SW02,SNSL254_A0404,SNSL254_A0404,18,6
436,B4SZ81,ubiD,SNSL254_A4258,11,4
437,B4SWJ4,SNSL254_A3924,SNSL254_A3924,11,2
443,B4T364,gabT,SNSL254_A2989,9,4
445,B4SWN3,SNSL254_A0436,SNSL254_A0436,11,2
450,B4T6S3,SNSL254_A1803,SNSL254_A1803,11,2
474,B4SWY4,SNSL254_A0542,SNSL254_A0542,20,4
477,B4T404,SNSL254_A3080,SNSL254_A3080,11,5
