3,Q56078,bglX,STM2166,11,4
9,Q8ZNH8,napH,STM2257,10,10
30,P17430,iclR,STM4187,11,7
37,Q8ZP89,nifJ,STM1651,10,9
41,P0A2F2,cobB,STM1221,11,9
44,Q7CPN2,STM3354,STM3354,11,1
64,Q7CPV3,yohL,STM3023,19,11
75,P0A2N6,zipA,STM2428,11,3
79,P0A1K1,fliJ,STM1973,11,5
92,Q9L6Q4,hemX,STM3936,10,5
95,Q8ZLF0,ftsX,STM3569,11,2
98,Q8ZMM1,gabT,STM2792,9,6
113,Q7CQ35,yfcL,STM2380,11,2
151,Q8ZKV5,yieP,STM3888,11,3
152,P35891,dnaA,STM3838,11,20
166,Q8ZN30,glrK,STM2564,5,1
178,Q7CQW0,glnH,STM0830,10,1
188,O85139,fabH,STM1193,11,7
202,P65417,yedP,STM1986,10,2
204,Q7CR63,cdsA,STM0222,11,7
216,P50334,dctA,STM3614,11,3
233,Q05587,pocR,STM2036,9,1
238,P0A1H7,exbB,STM3159,11,12
250,P64251,glpE,STM3525,11,7
251,Q8ZPA9,trg,STM1626,9,3
288,Q8ZKP7,tpiA,STM4081,11,3
308,Q8ZKL6,argH,STM4123,11,2
329,P0A1J1,flgE,STM1177,11,3
348,P58580,gshB,STM3095,11,2
354,Q8ZQV1,STM0723,STM0723,1,2
394,Q8ZKM8,talC,STM4109,11,2
422,Q8ZQW9,pgm,STM0698,11,4
432,Q7CPK0,ugpB,STM3557,11,5
433,Q9L6N1,metE,STM3965,11,9
442,Q7CR15,acrR,STM0477,20,18
445,P19480,ahpF,STM0609,7,6
450,P0A1Q8,hemC,STM3938,11,2
460,Q7CP70,yjiX,STM4531,11,1
467,P67366,STM1210,STM1210,11,3
474,Q8ZRA1,aes,STM0490,20,4
475,Q8ZRT0,lpdA,STM0154,11,12
482,Q8ZRX4,caiC,STM0071,10,11
499,P0CL02,STM2789,STM2789,6,1
500,Q8ZLR4,gltB,STM3330,7,6
505,P96062,phnS,STM0429,11,3
509,P28355,recJ,STM3042,10,2
520,Q8ZPV5,selD,STM1297,11,1
546,Q8ZR28,cstA,STM0600,11,1
548,Q8ZLC4,yhjC,STM3607,20,3
549,P40810,ilvD,STM3904,11,7
558,Q8ZNL6,STM2192,STM2192,11,1
560,P0A2G1,smpB,STM2688,11,1
585,Q8ZQA4,STM1022,STM1022,11,4
589,P63343,hflB,STM3296,11,3
592,Q8ZPX5,yeaR,STM1271,21,5
594,Q8ZKM3,pflC,STM4115,7,6
597,Q7CPI3,STM3653,STM3653,5,1
603,P0A1R6,hupA,STM4170,11,5
604,Q7CQL0,cfa,STM1427,11,4
610,P65672,cysD,STM2935,11,6
612,Q8ZKA6,yjeE,STM4357,11,1
615,Q8ZKR8,STM4056,STM4056,10,3
618,P0A2T6,crp,STM3466,11,300
621,P08005,oppB,STM1745,11,3
623,P0CL46,fhlA,STM2859,11,21
648,Q03032,oadG,STM3353,2,4
658,Q8ZNG3,glpC,STM2286,11,9
670,Q8ZL09,dsdX,STM3801,11,1
706,P0CE12,sspH2,STM2241,9,1
724,Q8ZPK0,ynfI,STM1495,11,6
733,P41790,eutD,STM2466,11,3
746,Q8ZLH1,gldA,STM3529,9,3
755,Q8ZQW6,speF,STM0701,10,6
776,Q7CQ97,fbaB,STM2141,7,2
790,H9L492,STM2405,STM2405,10,1
798,Q8ZRT7,secA,STM0136,11,13
820,Q8ZMU6,STM2705,STM2705,36,13
831,P27667,uhpA,STM3790,11,5
837,P26393,rfbA,STM2095,13,4
845,P0A273,lexA,STM4237,11,42
853,P40720,fumA,STM1468,11,5
860,P0A7N6,rpmF,STM1191,7,5
872,P0A7P8,rpmH,STM3839,11,1
882,P22715,galE,STM0776,11,22
896,P25077,mdh,STM3359,11,4
897,Q8ZKI5,lysC,STM4220,11,3
907,Q8ZLT7,STM3277,STM3277,7,1
908,P66170,rpmC,STM3432,11,4
929,P37463,tcuB,STM0690,10,2
931,Q8ZRT6,mutT,STM0137,11,7
936,Q8ZJV4,stjC,STM4573,5,3
965,P0A2R6,yhdG,STM3384,11,2
967,Q8ZQW5,kdpE,STM0702,11,3
993,P26400,rfbX,STM2088,9,3
998,Q8ZP43,STM1755,STM1755,10,2
1000,Q8ZRZ3,nhaA,STM0039,11,2
1003,Q9RPU7,hpaD,STM1103,11,3
1012,Q8ZKX1,glmS,STM3861,11,4
1035,P25926,nirC,STM3476,11,6
1048,Q8ZKQ2,STM4076,STM4076,11,1
1052,P0A265,ppiC,STM3910,11,1
1075,P0A1W6,livK,STM3564,20,8
1093,P14846,carB,STM0067,11,9
1141,Q8ZR40,fepA,STM0585,11,7
1164,Q8ZLJ5,yrfH,STM3497,11,12
1166,Q8ZQC4,cmk,STM0980,11,7
1200,Q8ZKG6,STM4261,STM4261,3,1
1210,Q8ZL52,tdh,STM3708,11,2
1219,Q8ZQZ3,STM0652,STM0652,1,1
1269,P64237,gidB,STM3873.S,11,3
1273,P17327,proW,STM2810,11,4
1281,P0A1L1,fliO,STM1978,11,1
1285,Q9RPF4,mntH,STM2408,10,3
1297,Q8ZQY4,rihA,STM0661,11,2
1310,O84944,sseA,STM1397,7,4
1312,Q8ZN82,tktB,STM2474,11,8
1319,Q8ZMY0,rseA,STM2639,11,6
1323,Q9L6R5,wecB,STM3920,11,6
1327,O87576,lnt,STM0666,11,7
1330,Q8ZRS7,STM0159,STM0159,1,1
1355,Q7CQR3,grxB,STM1165,11,11
1356,Q8ZQ10,fhuE,STM1204,9,4
1371,Q8ZR76,allD,STM0528,11,3
1372,P0A2Q0,yifA,STM3897,11,6
1379,P64046,yeiP,STM2211.S,9,1
1386,Q7CPY6,mltB,STM2831,11,7
1388,P57048,tatB,STM3974,11,4
1389,Q8ZP61,pspC,STM1688,11,3
1391,Q8ZQW0,kdpF,STM0707,2,1
1399,P0A2U2,rimK,STM0875,11,4
1409,Q8ZNM8,yehZ,STM2165,11,2
1415,Q8ZM64,STM3075,STM3075,1,1
1419,Q8ZP36,narK,STM1765,11,5
1424,Q8ZLI2,STM3516,STM3516,6,2
1445,Q8ZM02,STM3169,STM3169,27,10
1447,Q8ZPU2,celF,STM1316,11,2
1457,P67388,uppP,STM3205,11,5
1458,Q7CPM9,yhcO,STM3363,11,1
1467,Q7CR35,pgpA,STM0420,11,8
1490,P0A1V6,prsA,STM1780,11,2
1493,Q8ZQV4,STM0719,STM0719,4,2
1504,Q8ZLS5,obgE,STM3301,11,3
1521,Q8ZLP3,mreC,STM3373,11,2
1523,Q8ZR88,ybbB,STM0513,11,2
1534,Q8ZPR9,ydiR,STM1353,9,5
1550,P67735,yhcK,STM3340,11,13
1554,Q8XFK6,ccmG,STM3813,12,3
1573,Q8ZLS7,rlmE,STM3297,11,1
1589,P05416,glgA,STM3535,10,5
1603,P41783,prgH,STM2874,11,3
1604,Q9L6R4,wecC,STM3921,11,2
1611,Q7CPL4,rplP,STM3433,11,2
1622,Q8ZQQ9,hutH,STM0791,11,1
1628,Q8ZLR8,STM3323,STM3323,11,1
1636,P0CL48,foxA,STM0364,18,7
1640,Q8ZL89,xylR,STM3662,11,6
1652,P0CW86,sodC,STM1044,8,3
1662,Q8ZPY3,STM1255,STM1255,11,6
1663,Q7CPM4,cafA,STM3370,9,1
1675,Q9X6G2,rmsJ,STM3593,11,9
1687,Q7CR75,STM0155,STM0155,1,1
1688,Q8ZM61,STM3080,STM3080,8,1
1695,P67651,menG,STM4089,11,3
1702,P40727,flhB,STM1914,21,5
1740,Q8ZKU3,STM4012,STM4012,7,6
1742,Q8ZL78,lyxK,STM3674,8,19
1748,P67524,dnaT,STM4544,11,2
1776,Q8ZLU0,yhbT,STM3273,11,2
1778,Q8ZLK9,yhfA,STM3465,11,1
1784,H9L487,purN,STM2500,11,10
1797,P58688,folD,STM0542,11,9
1819,Q8ZPB9,STM1614,STM1614,11,1
1827,Q8ZP52,acnA,STM1712,11,12
1861,Q8ZKQ4,STM4074,STM4074,1,1
1864,Q8ZQK0,potF,STM0877,11,6
1867,Q9L9J0,STM4161,STM4161,10,8
1881,P40783,qor,STM4245,11,1
1899,Q8ZLM7,def,STM3406,11,4
1910,Q8ZL86,avtA,STM3665,10,3
1933,P40865,rhaR,STM4049,10,7
1964,Q8ZQB3,ycbL,STM0997,11,1
1969,Q8ZPB7,STM1617,STM1617,11,3
1977,P0A204,csgG,STM1139,11,10
1987,Q8ZLH0,STM3531,STM3531,8,6
1989,Q8ZR83,glxR,STM0519,11,7
1990,P0A1V4,adk,STM0488,11,9
1993,P26477,flgM,STM1172,11,9
2004,Q8ZR11,citE,STM0622,11,17
2021,Q8ZLZ9,ygiY,STM3178,10,2
2029,P43015,hilA,STM2876,11,108
2031,Q7CQT9,rpsA,STM0981,11,4
2033,Q8ZLM1,rpsM,STM3418,10,1
2037,P40860,cysA,STM2441,1,1
2062,Q8ZJV8,deoC,STM4567,11,9
2075,Q8ZP23,STM1793,STM1793,10,3
2080,Q8ZMK2,srlE,STM2833,11,6
2133,P74881,purG,STM2565,11,3
2149,Q8ZLH4,glpD,STM3526,11,5
2153,Q7CQG5,pgpB,STM1710,11,13
2159,P22494,umuC,STM1997,7,1
2161,Q8ZKH9,plsB,STM4235,11,8
2187,Q7CQ65,ccmD,STM3816,11,4
2190,Q8ZQD0,pflA,STM0970,11,9
2193,P27031,rhaA,STM4046,11,6
2196,Q8ZKA4,hflK,STM4363,11,2
2199,Q8ZM23,STM3137,STM3137,11,4
2205,Q8ZR54,STM0567,STM0567,10,1
2213,Q8ZKD2,STM4310,STM4310,11,2
2236,Q8ZPN8,ydhO,STM1432,10,1
2257,Q9L9J3,STM4157,STM4157,12,1
2264,P63603,aroL,STM0388,11,7
2273,Q9F7B1,wzc,STM2116,11,2
2279,P24519,nadA,STM0756,11,4
2286,Q8ZPH4,STM1533,STM1533,21,8
2290,P0A2G3,STM0689,STM0689,11,2
2292,Q8ZP45,adhE,STM1749,11,19
2309,P08006,oppC,STM1744,10,3
2328,P0A803,rpoZ,STM3741,11,6
2362,Q7CPT0,hybG,STM3143,11,8
2367,Q8ZNP4,STM2137,STM2137,12,2
2369,Q9ZJ12,yjeA,STM4344,11,3
2379,P41786,prgK,STM2871,8,3
2382,Q8ZKA3,yjeB,STM4367,11,57
2385,P41785,prgJ,STM2872,8,3
2393,H9L447,STM1055,STM1055,6,1
2405,Q8ZRI5,STM0334,STM0334,4,2
2430,Q8ZKF3,nrfC,STM4279,11,4
2431,P0A1B3,argR,STM3360,11,28
2442,Q7CQW7,modB,STM0782,11,6
2450,Q8ZPZ3,ymfB,STM1235,11,4
2451,Q8ZK57,STM4425,STM4425,12,8
2476,Q7CPE2,atpD,STM3865,11,14
2478,Q8ZLX6,fadH,STM3219,10,7
2487,Q8ZNK7,yeiH,STM2202,11,2
2509,P0A2D5,cheY,STM1916,11,8
2510,Q7CQ03,pssA,STM2652,11,3
2564,Q8ZQ77,STM1054,STM1054,1,1
2586,Q8ZRP8,clcA,STM0203,11,3
2587,P0A2E1,glyA,STM2555,11,11
2606,P0A1A9,xthA,STM1302,3,1
2608,Q8ZN68,yfgD,STM2495,11,4
2622,Q8ZLB0,dppC,STM3628,11,4
2631,Q8ZK66,mpl,STM4416,10,7
2637,P67904,rpsJ,STM3441,11,6
2638,Q8ZPM4,rsxG,STM1455,9,1
2651,P66296,rpmJ,STM0470,11,1
2658,Q8ZPZ9,ycfX,STM1220,11,2
2669,Q7CQ02,yfiM,STM2653,10,1
2680,Q8ZLX5,STM3220,STM3220,11,1
2682,H9L410,STM1269,STM1269,11,4
2684,P0A249,ptsI,STM2432,11,49
2718,Q05311,uvrD,STM3951,11,5
2726,Q56016,rsmA,STM0090,1,1
2728,Q8ZQV7,ybgK,STM0713,7,1
2737,Q8ZME4,mazG,STM2954,11,10
2752,P0A1Q6,hemA,STM1777,11,3
2756,Q8ZMZ8,STM2603,STM2603,4,2
2757,O68446,purR,STM1430,11,32
2764,Q8ZPZ1,ymfC,STM1237,11,2
2767,Q8ZND5,STM2340,STM2340,11,5
2809,P63521,fadD,STM1818,11,14
2819,P65454,murA,STM3307,11,8
2833,P64421,hybF,STM3144,11,3
2839,H9L4A6,marT,STM3759,6,1
2846,Q9F7B2,wzb,STM2117,11,2
2857,Q7CPB8,fabR,STM4127,7,4
2862,P65792,proB,STM0321,11,1
2877,P0A2F8,citP,STM0057,1,1
2889,Q7CQJ3,STM1534,STM1534,8,6
2893,Q8ZLW7,yhaJ,STM3235,11,2
2918,Q8ZN50,STM2528,STM2528,11,12
2933,O33921,agp,STM1117,10,2
2936,Q8ZL47,dfp,STM3730,7,2
2938,Q8ZMB4,recC,STM2996,11,2
2940,O84947,sseC,STM1400,2,1
2942,Q8ZQM1,rimO,STM0852,11,5
2960,P74839,prpR,STM0367,10,8
2968,Q7CQK8,ydhM,STM1437,11,6
2975,P43660,lpfA,STM3640,14,9
2976,Q8ZRN0,metI,STM0246,11,1
2984,Q8ZR37,entF,STM0588,11,3
2991,P16326,flgL,STM1184,11,5
3004,P23988,pagC,STM1246,11,4
3008,Q8ZM16,hybC,STM3147,11,15
3020,O66041,uvrC,STM1946,10,1
3031,P67270,ybgI,STM0711,11,1
3049,Q8ZPE5,fdnG,STM1570,10,15
3063,P15434,pheT,STM1338,11,6
3084,Q8ZLE7,yhhL,STM3573,11,1
3092,Q8ZQZ8,nadD,STM0645,11,8
3109,Q7CQS6,orfX,STM1092,10,1
3112,P67038,pheS,STM1337,11,10
3117,Q7CP94,vacB,STM4368,11,2
3126,Q8ZR43,STM0580,STM0580,11,21
3151,P65215,kdsA,STM1772,11,3
3188,Q7CR81,ftsQ,STM0131,11,17
3219,Q7CR28,cyoD,STM0440,11,10
3232,H9L4A5,uraA,STM2497,11,1
3242,Q8ZRJ7,fadE,STM0309,7,14
3249,P37724,miaA,STM4360,11,2
3253,P37432,ompF,STM0999,11,68
3254,Q8ZMD7,gudT,STM2962,19,7
3259,Q8ZQ20,dinI,STM1162,11,2
3267,Q8ZMB7,recD,STM2993,11,3
3298,Q7CPP6,ispB,STM3305,11,5
3299,Q8ZLF4,ugpC,STM3554,1,2
3302,Q8ZKW6,gidA,STM3874,11,3
3319,Q8ZNH9,napC,STM2255,11,6
3345,P60959,lgt,STM3002,11,5
3349,Q56056,rnc,STM2581,11,1
3372,Q03031,oadB,STM3351,21,7
3384,P0A2F0,rpoE,STM2640,11,14
3395,Q8ZMC8,fucO,STM2973,21,10
3400,P15717,leuC1,STM0111,11,8
