0,A0A546,speA,SPA2950,11,5
20347,P06178,fliC,SPA0911,16,2
21526,Q3V7K0,pdxA,SPA0092,11,7
21527,Q3V7K2,menA,SPA3933,11,2
21528,Q3V7K3,hemY,SPA3776,9,1
21529,Q3V7K4,mtgA,SPA3193,11,3
21530,Q3V7K6,fliQ,SPA0890,11,1
21531,Q3V7K7,fliR,SPA0889,11,4
21532,Q3V7K8,flhB,SPA0954,21,5
24492,Q5PBZ0,yigQ,SPA3558,5,1
24493,Q5PBZ1,yibP,SPA3557,5,1
24494,Q5PBZ2,pmgI,SPA3556,11,4
24495,Q5PBZ3,yibN,SPA3555,5,1
24496,Q5PBZ4,grxC,SPA3554,11,9
24497,Q5PBZ5,secB,SPA3553,11,2
24498,Q5PBZ6,gpsA,SPA3552,11,2
24499,Q5PBZ7,cysE,SPA3551,11,5
24500,Q5PBZ8,SPA3550,SPA3550,19,5
24501,Q5PBZ9,SPA3549,SPA3549,11,4
24502,Q5PC00,SPA3548,SPA3548,8,1
24503,Q5PC01,waaK,SPA3566,11,5
24504,Q5PC02,waaL,SPA3565,11,5
24505,Q5PC03,waaC,SPA3564,11,3
24506,Q5PC04,waaF,SPA3563,11,3
24507,Q5PC05,rfaD,SPA3562,11,5
24508,Q5PC06,kbl,SPA3561,11,1
24509,Q5PC07,tdh,SPA3560,11,2
24510,Q5PC09,mutM,SPA3578,11,4
24511,Q5PC10,coaD,SPA3577,11,4
24512,Q5PC11,kdtA,SPA3576,11,4
24513,Q5PC12,waaQ,SPA3575,11,3
24514,Q5PC13,waaG,SPA3574,11,1
24515,Q5PC14,waaP,SPA3573,11,2
24516,Q5PC16,waaB,SPA3571,11,2
24517,Q5PC17,waaI,SPA3570,11,3
24518,Q5PC18,waaJ,SPA3569,11,2
24519,Q5PC19,waaY,SPA3568,11,2
24520,Q5PC20,waaZ,SPA3567,9,3
24521,Q5PC21,yicG,SPA3590,9,1
24522,Q5PC27,ttk,SPA3584,11,1
24523,Q5PC29,dfp,SPA3582,7,2
24524,Q5PC31,rpmB,SPA3580,11,4
24525,Q5PC32,rpmG,SPA3579,11,2
24526,Q5PC34,yicE,SPA3598,11,5
24527,Q5PC39,rpoZ,SPA3593,11,6
24528,Q5PC40,gmk,SPA3592,11,2
