1,B5RHA4,speD,SG0168,11,1
4,B5RHD3,fhuB,SG0198,11,4
11,B5RBY9,pegD,SG2182,3,1
31,B5RG58,slsA,SG3668,22,2
50,B5RHF2,glnD,SG0218,11,4
55,B5R813,lnt,SG0670,11,6
72,B5RBZ6,yehR,SG2190,11,3
73,B5RDM3,invF,SG2801,11,49
78,B5RFC4,rhaB,SG3374,11,4
145,B5RC85,napA,SG2287,11,10
152,B5R8X7,pabB,SG1293,11,4
154,B5R5S8,SG0344,SG0344,4,1
167,B5R8Z3,SG1309,SG1309,21,1
192,B5RDF1,csrA,SG2729,11,4
193,B5RFP6,yigB,SG3499,8,1
206,B5RES5,yhbL,SG3217,11,5
219,B5RC78,ccmC2,SG2280,11,5
230,B5R8W1,SG1276,SG1276,10,1
232,B5RBB2,yceD,SG1932,11,1
239,B5RD11,nifU,SG2577,11,2
242,B5REG7,rpsU,SG3106,11,6
258,B5R7H2,fliD,SG1095,11,3
260,B5RCS9,eutB,SG2489,11,5
279,B5R6Q5,yajB,SG0415,11,6
290,B5RHD2,fhuD,SG0197,11,4
292,B5RGS9,gor,SG3840,11,5
293,B5RCF5,lrhA,SG2359,10,2
299,B5RH48,fmt,SG4031,11,3
303,B5RCT8,eutT,SG2498,11,5
325,B5RFY7,dnaA,SG3593,11,20
330,B5RBT0,SG2120,SG2120,10,3
333,B5R6Q6,queA,SG0416,11,1
342,B5RF59,gldA,SG3308,11,12
344,B5RDK7,sipD,SG2785,8,1
346,B5RB70,purB,SG1889,11,8
356,B5R867,ybjO,SG0862,11,1
370,B5RF37,nhaR,SG0043,11,3
383,B5RA52,SG1492,SG1492,9,6
392,B5R8I4,dmsC,SG0909,10,15
411,B5R7U3,pspG,SG4087,7,1
418,B5R621,SG0508,SG0508,9,1
434,B5RGF2,mutM,SG3705,11,4
452,B5RBR1,hisG,SG2101,11,1
471,B5RGJ1,mtlD,SG3744,11,4
514,B5RFM8,ubiE,SG3481,11,5
542,B5REB7,exbD,SG3055,11,10
547,B5RHE4,btuF,SG0210,11,3
565,B5REY8,acrE,SG3281,8,3
567,B5R6P6,araJ,SG0406,10,3
588,B5RFB7,SG3367,SG3367,27,7
592,B5R884,hcr,SG0879,11,11
598,B5RF86,glpX,SG3335,11,3
608,B5R5V7,yahO,SG0378,10,1
616,B5RC06,yehZ,SG2201,11,2
660,B5RFN0,udp,SG3483,11,10
703,B5R7V4,ssb,SG4099,11,6
706,B5R843,SG0836,SG0836,7,1
729,B5RDM0,invA,SG2798,21,6
737,B5RFK8,tufA,SG3461,4,1
752,B5REU7,degS,SG3239,11,2
769,B5RGA0,carA,SG0069,11,9
770,B5R5Y0,yaiA,SG0401,11,5
773,B5RFH6,mobA,SG3428,11,2
777,B5RED3,parC,SG3071,11,3
780,B5RBQ5,phsA,SG2094,10,4
814,B5REK4,garL,SG3145,11,8
822,B5RAL3,anmK,SG1672,11,3
841,B5R8D8,yebC,SG1153,11,5
872,B5RFP9,dapF,SG3502,11,5
873,B5R7J2,glpR,SG3916,10,9
891,B5RBC1,flgH,SG1942,11,10
893,B5R642,gip,SG0530,20,6
906,B5R832,pflE,SG0825,11,7
926,B5REC8,SG3066,SG3066,27,7
933,B5R7H8,glgX,SG3900,11,9
954,B5R717,entC,SG0599,11,6
973,B5RGF6,rfaG,SG3709,11,1
994,B5REK7,SG3148,SG3148,10,5
1004,B5R826,ybiS,SG0816,11,5
1016,B5RHF5,tsf,SG0221,11,2
1039,B5RGR2,dctA,SG3822,11,3
1056,B5RA37,acpD,SG1477,11,1
1066,B5RCP2,xapR,SG2451,10,1
1079,B5RBF8,csgD,SG1980,11,37
1089,B5RH25,rplN,SG4009,11,3
1101,B5RCV9,dapA,SG2519,11,4
1124,B5R872,artJ,SG0867,11,7
