Node_1_orthology_group_id,Node_2_orthology_group_id,Layer,Salmonella_dublin_CT_02021853,Salmonella_enteritidis_PT4_P125109,Salmonella_paratyphi_A_ATCC_9150_SARB42,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Salmonella_heidelberg_SL476,Salmonella_paratyphi_C_RKS4594,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Salmonella_newport_SL254,Salmonella_typhi,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Salmonella_typhimurium_D23580,Salmonella_typhimurium_SL1344,Salmonella_typhimurium_14028s_SGSC_2262,Salmonella_agona_SL483,Salmonella_typhimurium_4_74,Salmonella_choleraesuis_SC-B67,Salmonella_schwarzengrund_CVM19633,Salmonella_gallinarum_287_91_NCTC_13346-B67,Salmonella_paratyphi_A_AKU_12601-B67
OMA02349,OMA02381,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03830,OMA02741,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03568,OMA02948,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05381,OMA02948,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03507,OMA03412,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03508,OMA03412,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04394,OMA03412,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04467,OMA03412,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04660,OMA03412,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05046,OMA03412,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05145,OMA03412,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05341,OMA03412,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03508,OMA03437,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03508,OMA03757,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04394,OMA03922,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03197,OMA04189,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05381,OMA04189,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03205,OMA04207,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03568,OMA04647,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03830,OMA04961,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03453,OMA05224,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03507,OMA05224,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05046,OMA05265,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA01895,OMA05278,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04295,OMA05389,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02238,OMA05460,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02238,OMA05598,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02430,OMA05598,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03616,OMA05603,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02510,OMA05741,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02167,OMA05910,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05327,OMA05910,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03395,OMA06010,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05381,OMA06371,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03507,OMA06384,Regulatory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03568,OMA06126,Regulatory,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02430,OMA00336,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02510,OMA00336,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03197,OMA00744,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03233,OMA01023,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05145,OMA01075,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02001,OMA01278,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03197,OMA01423,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03453,OMA01423,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03507,OMA01423,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02349,OMA01427,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05327,OMA01512,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03453,OMA01733,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03508,OMA02445,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03830,OMA02445,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03197,OMA02454,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03205,OMA02502,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02349,OMA02627,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02430,OMA02634,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02510,OMA02634,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02510,OMA02758,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03047,OMA03133,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04566,OMA03757,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02238,OMA03952,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
